Entity,Code,Year,Indicator:UHC Service Coverage Index (SDG 3.8.1)
Tunisia,TUN,2019,69.85837
Turkey,TUR,2000,60.56767
Turkey,TUR,2005,65.10679
Turkey,TUR,2010,66.16129
Turkey,TUR,2015,76.57137
Turkey,TUR,2017,77.1823
Turkey,TUR,2019,78.69674
Turkmenistan,TKM,2000,53.75397
Turkmenistan,TKM,2005,59.57357
Turkmenistan,TKM,2010,66.4719
Turkmenistan,TKM,2015,69.26582
Turkmenistan,TKM,2017,71.09145
Turkmenistan,TKM,2019,72.53155
Tuvalu,TUV,2000,37.35482
Tuvalu,TUV,2005,39.39286
Tuvalu,TUV,2010,47.40639
Tuvalu,TUV,2015,50.21847
Tuvalu,TUV,2017,51.60499
Tuvalu,TUV,2019,51.55476
Uganda,UGA,2000,21.83498
Uganda,UGA,2005,31.47184
Uganda,UGA,2010,40.42069
Uganda,UGA,2015,44.89054
Uganda,UGA,2017,48.08587
Uganda,UGA,2019,50.44793
Ukraine,UKR,2000,48.25574
Ukraine,UKR,2005,50.53393
Ukraine,UKR,2010,59.06803
Ukraine,UKR,2015,63.34255
Ukraine,UKR,2017,69.55058
Ukraine,UKR,2019,72.95102
United Arab Emirates,ARE,2000,51.34742
United Arab Emirates,ARE,2005,76.17089
United Arab Emirates,ARE,2010,73.85477
United Arab Emirates,ARE,2015,78.50161
United Arab Emirates,ARE,2017,77.2552
United Arab Emirates,ARE,2019,77.83283
United Kingdom,GBR,2000,74.16537
United Kingdom,GBR,2005,80.06777
United Kingdom,GBR,2010,84.07931
United Kingdom,GBR,2015,86.55957
United Kingdom,GBR,2017,87.21692
United Kingdom,GBR,2019,87.71524
United States,USA,2000,76.02441
United States,USA,2005,78.55582
United States,USA,2010,80.0442
United States,USA,2015,81.41339
United States,USA,2017,82.1209
United States,USA,2019,82.60933
Upper-middle-income,,2000,62.40696
Upper-middle-income,,2005,59.43407
Upper-middle-income,,2010,68.01462
Upper-middle-income,,2015,74.06706
Upper-middle-income,,2017,76.71583
Upper-middle-income,,2019,76.55077
Uruguay,URY,2000,65.11494
Uruguay,URY,2005,68.13606
Uruguay,URY,2010,74.43333
Uruguay,URY,2015,77.9483
Uruguay,URY,2017,78.43415
Uruguay,URY,2019,79.34049
Uzbekistan,UZB,2000,52.03176
Uzbekistan,UZB,2005,52.13459
Uzbekistan,UZB,2010,63.03803
Uzbekistan,UZB,2015,67.10258
Uzbekistan,UZB,2017,69.18553
Uzbekistan,UZB,2019,70.85184
Vanuatu,VUT,2000,39.71371
Vanuatu,VUT,2005,38.72604
Vanuatu,VUT,2010,47.58107
Vanuatu,VUT,2015,49.22597
Vanuatu,VUT,2017,49.67553
Vanuatu,VUT,2019,52.24291
Venezuela,VEN,2000,51.61961
Venezuela,VEN,2005,61.05652
Venezuela,VEN,2010,66.38107
Venezuela,VEN,2015,70.54254
Venezuela,VEN,2017,68.86983
Venezuela,VEN,2019,69.62705
Vietnam,VNM,2000,39.52205
Vietnam,VNM,2005,44.49517
Vietnam,VNM,2010,59.20177
Vietnam,VNM,2015,66.18945
Vietnam,VNM,2017,67.80126
Vietnam,VNM,2019,69.54382
Western Pacific,,2000,51.26151
Western Pacific,,2005,59.54255
Western Pacific,,2010,67.53893
Western Pacific,,2015,75.17028
Western Pacific,,2017,77.82727
Western Pacific,,2019,79.74135
World,OWID_WRL,2000,45.26299
World,OWID_WRL,2005,50.42404
World,OWID_WRL,2010,58.42987
World,OWID_WRL,2015,63.57609
World,OWID_WRL,2017,65.49816
World,OWID_WRL,2019,67.48169
Yemen,YEM,2000,30.61051
Yemen,YEM,2005,31.83271
Yemen,YEM,2010,41.17257
Yemen,YEM,2015,42.56128
Yemen,YEM,2017,44.22709
Yemen,YEM,2019,44.32789
Zambia,ZMB,2000,29.57772
Zambia,ZMB,2005,34.99115
Zambia,ZMB,2010,45.05895
Zambia,ZMB,2015,50.34867
Zambia,ZMB,2017,51.96516
Zambia,ZMB,2019,54.58897
Zimbabwe,ZWE,2000,31.83513
Zimbabwe,ZWE,2005,33.02815
Zimbabwe,ZWE,2010,46.89234
Zimbabwe,ZWE,2015,54.87214
Zimbabwe,ZWE,2017,55.71077
Zimbabwe,ZWE,2019,54.77079
